id,linea,estacion
44,E,BOLIVAR
54,D,BULNES
6,D,9 DE JULIO
78,H,PARQUE PATRICIOS
68,E,VARELA
38,A,PLAZA DE MISERERE
9,D,AGUERO
8,D,TRIBUNALES
72,B,LEANDRO N. ALEM
75,A,CARABOBO
50,E,JUJUY
73,B,TRONADOR
65,D,JURAMENTO
12,D,PALERMO
81,B,JUAN MANUEL DE ROSAS
67,E,PLAZA DE LOS VIRREYES
13,C,RETIRO
18,C,INDEPENDENCIA
34,A,SAENZ PENA
21,B,C. PELLEGRINI
87,H,FACULTAD DE DERECHO
43,A,PRIMERA JUNTA
11,D,PLAZA ITALIA
61,E,BOEDO
82,A,SAN JOSE DE FLORES
66,B,FEDERICO LACROZE
59,E,MEDALLA MILAGROSA
30,B,DORREGO
14,C,LAVALLE
51,E,URQUIZA
80,B,ECHEVERRIA
35,A,CONGRESO
77,H,CORRIENTES
69,D,CATEDRAL
79,H,HOSPITALES
53,E,EMILIO MITRE
24,B,PASTEUR
60,E,AV. LA PLATA
32,A,PIEDRAS
7,D,FACULTAD DE MEDICINA
58,C,SAN JUAN
42,A,ACOYTE
4,H,VENEZUELA
5,H,ONCE
25,B,PUEYRREDON
57,C,SAN MARTIN
3,H,HUMBERTO I
17,C,MORENO
46,E,INDEPENDENCIA
39,A,LORIA
84,H,CORDOBA
62,D,MINISTRO CARRANZA
36,A,PASCO
40,A,CASTRO BARROS
55,D,PUEYRREDON
27,B,ALMAGRO
48,E,ENTRE RIOS
31,A,PERU
71,D,CONGRESO DE TUCUMAN
23,B,CALLAO
33,A,LIMA
83,A,SAN PEDRITO
85,H,LAS HERAS
45,E,BELGRANO
64,D,JOSE HERNANDEZ
10,D,R.SCALABRINI ORTIZ
70,A,PLAZA DE MAYO
56,D,CALLAO
1,H,CASEROS
19,C,CONSTITUCION
22,B,URUGUAY
76,A,PUAN
41,A,RIO DE JANEIRO
86,H,SANTA FE
74,B,DE LOS INCAS
29,B,MALABIA
26,B,CARLOS GARDEL
28,B,ANGEL GALLARDO
37,A,ALBERTI
15,C,DIAGONAL NORTE
2,H,INCLAN
47,E,SAN JOSE
52,E,JOSE MARIA MORENO
16,C,AV. DE MAYO
63,D,OLLEROS
20,B,FLORIDA
49,E,PICHINCHA
